City,State,Zip,Bank,BankState,NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,Defaulted
Beachwood,OH,44122,CALIFORNIA BANK & TRUST,CA,523110,84,5,1.0,2,5,0,1,N,N,150000.0,0.0,150000.0,75000.0,0
MURRAY,UT,84123,WELLS FARGO BANK NATL ASSOC,SD,0,84,52,2.0,0,0,42475,0,N,N,90000.0,0.0,90000.0,81000.0,0
Johnsburg,IL,60050,"PNC BANK, NATIONAL ASSOCIATION",IL,238310,24,3,1.0,0,3,0,1,Y,N,425000.0,0.0,250000.0,125000.0,0
TECATE,CA,91980,FIRST BANK,CA,0,120,11,1.0,0,0,1,0,N,N,300000.0,0.0,300000.0,225000.0,0
PHILADELPHIA,PA,19107,"TD BANK, NATIONAL ASSOCIATION",DE,448140,84,4,2.0,10,14,1,1,0,N,333424.0,0.0,349700.0,262275.0,0
MACON,GA,31202,GEORGIA SMALL BUS. LENDER INC.,GA,311119,240,6,2.0,6,6,1,1,N,N,319000.0,0.0,325000.0,325000.0,0
MINNEAPOLIS,MN,55427,VOYAGER BANK,MN,812990,84,4,1.0,0,0,1,1,0,Y,150000.0,0.0,150000.0,127500.0,0
KAMUELA,HI,96743,HEDCO LOCAL DEVEL CORP,HI,0,120,38,2.0,38,0,0,0,N,N,192000.0,0.0,192000.0,192000.0,0
NAPA,CA,94559,UMPQUA BANK,OR,722211,252,16,1.0,0,16,31300,1,0,N,750000.0,0.0,750000.0,562500.0,0
OCEAN CITY,MD,21842,"PNC BANK, NATIONAL ASSOCIATION",MD,453998,60,2,1.0,0,0,1,0,0,Y,35000.0,0.0,35000.0,28000.0,0
DENTON,TX,76209,FIRST UNITED BK & TR CO,TX,561710,26,2,2.0,0,0,1,1,0,Y,50000.0,0.0,50000.0,42500.0,1
CHINO,CA,91710,WELLS FARGO BANK NATL ASSOC,SD,541320,9,2,1.0,0,2,1,1,Y,N,79295.0,0.0,30000.0,15000.0,1
Anaheim,CA,92805,EAST WEST BANK,CA,621498,120,8,2.0,0,0,0,1,N,N,1350000.0,0.0,1350000.0,1012500.0,0
LACKAWANNA,NY,14218,FIVE STAR BANK,NY,0,12,35,1.0,0,0,1,1,N,N,150000.0,0.0,150000.0,112500.0,0
SAN DIEGO,CA,92154,CITY NATIONAL BANK,CA,339999,60,300,1.0,0,0,1,0,Y,N,300000.0,0.0,300000.0,225000.0,0
PROVIDENCE,UT,84332,MOUNTAIN W. SMALL BUS. FINAN,UT,511210,240,8,1.0,8,0,1,2,0,N,442000.0,0.0,442000.0,442000.0,0
GREERS FERRY,AR,72067,CAPITAL ONE NATL ASSOC,VA,811111,67,5,1.0,1,5,0,2,N,N,35000.0,0.0,35000.0,17500.0,1
WALWORTH,WI,53184,U.S. BANK NATIONAL ASSOCIATION,WI,0,240,10,1.0,0,0,1,0,N,N,290000.0,0.0,290000.0,217500.0,0
HESPERIA,CA,92345,PACIFIC WESTERN BANK,CA,721110,300,6,1.0,2,6,26650,1,0,N,2000000.0,0.0,2000000.0,1500000.0,0
BELINGTON,WV,26250,MOUNTAIN VALLEY BANK NATL ASSO,WV,623110,180,1,2.0,0,0,1,0,0,Y,100000.0,0.0,100000.0,80000.0,0
GRAHAM,NC,27253,BANK OF AMERICA NATL ASSOC,NC,451211,8,5,1.0,0,5,1,1,T,N,76500.0,0.0,59000.0,29500.0,1
BONNER SPRINGS,KS,66012,BANK OF BLUE VALLEY,KS,811213,84,6,2.0,0,0,1,1,0,Y,96000.0,0.0,96000.0,76800.0,0
SPOKANE,WA,99204,"READYCAP LENDING, LLC",CA,532111,120,6,1.0,0,0,1,1,N,N,475000.0,0.0,525000.0,393750.0,0
CLARINDA,IA,51632,U.S. BANK NATIONAL ASSOCIATION,IA,448120,84,3,1.0,0,0,1,0,N,Y,41000.0,0.0,41000.0,32800.0,0
MURRIETA,CA,92562,CALIFORNIA BANK & TRUST,CA,522310,29,7,1.0,3,7,1,1,Y,N,148314.0,0.0,100000.0,50000.0,1
LAKEVILLE,MN,55044,MERCHANTS BANK NATL ASSOC,MN,722211,35,2,2.0,10,2,58910,1,Y,N,48781.0,0.0,25000.0,12500.0,1
WINDSOR,CA,95492,BANK OF THE WEST,CA,421830,120,2,1.0,0,2,1,1,0,N,282500.0,0.0,350000.0,262500.0,0
POMPANO BEACH,FL,33068,BANK OF AMERICA NATL ASSOC,NC,423330,50,2,1.0,0,2,0,1,N,N,35000.0,0.0,35000.0,17500.0,1
Knoxville,MD,21758,MANUFACTURERS & TRADERS TR CO,NY,236115,36,5,1.0,0,5,0,1,T,N,145713.0,0.0,50000.0,25000.0,1
LENEXA,KS,66215,ANB BANK,KS,0,60,7,2.0,0,0,0,0,N,N,75000.0,0.0,75000.0,67500.0,0
ORANGE,CA,95867,LOANS FROM OLD CLOSED LENDERS,DC,0,303,18,1.0,18,18,1,1,0,N,960500.0,0.0,960500.0,720375.0,0
MIAMI,FL,33181,BANK OF AMERICA NATL ASSOC,NC,621210,61,8,1.0,0,0,1,1,Y,N,75000.0,0.0,75000.0,37500.0,1
NORTHFIELD,VT,5663,CHITTENDEN TR COMPANY A DIVISI,VT,444190,12,6,1.0,6,6,0,2,Y,N,84000.0,0.0,50000.0,25000.0,0
ROCHESTER,NY,15614,MANUFACTURERS & TRADERS TR CO,NY,0,60,21,1.0,0,0,1,0,N,N,20000.0,0.0,20000.0,11320.0,0
BILLERICA,MA,1821,CITIZENS BANK NATL ASSOC,RI,561730,53,3,1.0,2,5,0,1,Y,N,64928.0,0.0,30000.0,15000.0,1
COVINGTON,LA,70433,FIRST A NATL BK. ASSOC,LA,451211,120,1,1.0,1,1,1,0,0,N,40000.0,0.0,40000.0,34000.0,0
MILTON,VT,5468,UNION BANK,VT,562998,9,5,1.0,0,5,0,2,T,N,290000.0,0.0,200000.0,170000.0,0
SHREWSBURY,MA,1545,BANK OF AMERICA NATL ASSOC,MA,0,12,25,1.0,0,0,1,0,0,N,100000.0,0.0,100000.0,50000.0,0
AUSTIN,TX,78758,BBCN BANK,CA,236116,69,2,1.0,1,2,0,1,N,N,5000.0,0.0,5000.0,4250.0,1
NEW CASTLE,DE,19720,CITIZENS BANK NATL ASSOC,RI,812320,60,4,1.0,0,4,1,1,0,N,35000.0,0.0,35000.0,17500.0,0
LOS ANGELES,CA,90014,BANK OF AMERICA NATL ASSOC,NC,339911,12,5,1.0,2,5,1,1,Y,N,59071.0,0.0,50000.0,25000.0,1
LONG BEACH,CA,90802,BANK OF AMERICA NATL ASSOC,NC,422340,84,1,1.0,0,1,1,1,Y,N,10000.0,0.0,10000.0,5000.0,0
WEST CHESTER,PA,19380,BANK OF AMERICA NATL ASSOC,NC,541219,84,5,1.0,1,6,0,1,N,N,34137.0,0.0,16300.0,8150.0,0
OLD FORGE,NY,13420,ADIRONDACK BANK,NY,444130,84,9,2.0,0,0,1,2,N,,250000.0,0.0,250000.0,187500.0,0
SIOUX CENTER,IA,51250,NORTHWEST BANK,IA,0,158,8,1.0,0,0,1,0,N,Y,65000.0,0.0,65000.0,58500.0,0
DURHAM,NC,27704,BANK OF AMERICA NATL ASSOC,NC,812113,4,3,1.0,3,3,1,1,T,N,13465.0,0.0,10000.0,5000.0,1
INDIALANTIC,FL,32903,BANK OF AMERICA NATL ASSOC,NC,621210,2,3,2.0,0,3,0,2,Y,N,79000.0,0.0,24000.0,12000.0,1
LOS ANGELES,CA,90007,BBCN BANK,CA,611519,53,2,2.0,1,2,1,1,0,N,5000.0,0.0,5000.0,4250.0,1
LAUREL,MS,39443,TRUSTMARK NATIONAL BANK,MS,112320,178,2,1.0,0,0,1,2,N,N,191000.0,0.0,191000.0,143250.0,0
SEWELL,NJ,8080,"COMMERCE BANK, A DIVISION OF",PA,441120,24,20,1.0,0,20,1,1,Y,N,100000.0,0.0,100000.0,50000.0,0
SEDALIA,CO,80135,GUARANTY BK & TR CO,CO,0,261,5,1.0,0,0,1,0,N,N,300000.0,0.0,300000.0,225000.0,0
N. MYRTLE BEACH,SC,29582,BRANCH BK. & TR CO,SC,812220,29,6,1.0,0,0,1,1,0,Y,150000.0,0.0,150000.0,127500.0,1
SAN JOSE,CA,95129,BANK OF AMERICA NATL ASSOC,NC,561990,84,5,1.0,0,0,1,1,Y,N,32558.0,0.0,20000.0,10000.0,0
PITTSFIELD,NH,3263,GRANITE ST. ECONOMIC DEVEL COR,NH,313221,240,185,1.0,50,135,0,0,N,N,750000.0,0.0,750000.0,750000.0,0
ITHACA,NY,14850,TOMPKINS TRUST COMPANY,NY,0,84,7,2.0,0,0,1,0,N,N,135000.0,0.0,135000.0,121500.0,0
LOS ANGELES,CA,90010,BANK OF AMERICA NATL ASSOC,NC,339911,66,11,1.0,0,11,0,1,Y,N,35000.0,0.0,35000.0,17500.0,1
SAFETY HARBOR,FL,33707,SYNOVUS BANK,FL,453210,96,2,1.0,1,2,50564,2,0,N,229000.0,0.0,229000.0,171750.0,1
MANASSAS,VA,20112,MANUFACTURERS & TRADERS TR CO,MD,448190,38,12,1.0,0,0,1,1,0,Y,150000.0,0.0,150000.0,127500.0,1
Upland,CA,91786,WELLS FARGO BANK NATL ASSOC,SD,541830,39,40,1.0,0,40,0,1,N,N,500000.0,0.0,500000.0,375000.0,0
ROCKLAND,MA,2370,NEW ENGLAND CERT. DEVEL CORP,MA,0,240,33,1.0,24,9,0,0,N,N,310000.0,0.0,310000.0,310000.0,0
VON ORMY,TX,78073,ATASCOSA NATIONAL BANK,TX,0,120,1,2.0,0,0,1,0,N,Y,82000.0,0.0,82000.0,65600.0,0
Orange,CA,92868,MUFG UNION BANK NATL ASSOC,CA,621320,84,1,2.0,0,1,0,1,Y,N,37472.0,0.0,30000.0,15000.0,0
NORTH CHELMSFORD,MA,1863,BANK OF AMERICA NATL ASSOC,NC,541410,11,2,1.0,0,2,1,1,Y,N,105136.0,0.0,56000.0,28000.0,1
BOULDER,CO,80302,WELLS FARGO BANK NATL ASSOC,SD,541211,84,1,1.0,0,1,0,1,Y,N,70435.0,0.0,35000.0,17500.0,0
LEWISTOWN,MT,59457,STOCKMAN BANK OF MONTANA,MT,422950,120,3,1.0,0,0,1,0,N,Y,55000.0,0.0,55000.0,49500.0,0
KANSAS CITY,MO,64112,ENTERPRISE BANK & TRUST,KS,0,84,3,1.0,0,0,1,0,N,Y,63000.0,0.0,63000.0,50400.0,0
SURFSIDE,FL,33154,WELLS FARGO BANK NATL ASSOC,SD,0,300,5,1.0,0,0,1,0,0,N,292000.0,0.0,292000.0,219000.0,0
FRANKLIN,OH,45005,JPMORGAN CHASE BANK NATL ASSOC,IL,321920,90,4,2.0,26,26,1,1,0,N,443000.0,0.0,443000.0,332250.0,0
KALISPELL,MT,59901,GLACIER BANK,MT,713940,75,2,1.0,0,0,1,0,Y,N,5000.0,0.0,5000.0,2500.0,0
DOVER,NH,3820,FEDERAL SAVINGS BANK,NH,235210,60,10,1.0,0,0,1,0,N,N,25000.0,0.0,25000.0,22500.0,0
FORT WAYNE,IN,46825,WELLS FARGO BANK NATL ASSOC,SD,0,120,35,1.0,35,35,1,1,0,N,1500000.0,0.0,1500000.0,750000.0,0
WINTER PARK,FL,32792,BANKFIRST,FL,0,84,3,1.0,0,0,1,0,N,N,40000.0,0.0,40000.0,36000.0,0
FT MITCHELL,KY,41017,"PNC BANK, NATIONAL ASSOCIATION",DE,621399,47,7,2.0,60,60,0,1,Y,N,755000.0,0.0,350000.0,175000.0,0
CHARLOTTE,NC,28262,FIRST-CITIZENS BK & TR CO,NC,0,63,2,1.0,0,0,1,0,N,Y,40000.0,0.0,40000.0,32000.0,0
Kettering,OH,45440,FIFTH THIRD BANK,OH,722211,120,36,1.0,36,72,0,1,N,N,450000.0,0.0,450000.0,337500.0,0
JACKSON HEIGHTS,NY,11372,BANK OF AMERICA NATL ASSOC,NC,541110,8,1,1.0,1,1,1,1,Y,N,51660.0,0.0,22500.0,11250.0,1
LOS ANGELES,CA,90004,BANK OF AMERICA NATL ASSOC,NC,424310,38,2,1.0,0,2,1,1,Y,N,54600.0,0.0,50000.0,25000.0,1
CARBONDALE,IL,62901,BRANCH BK. & TR CO,NC,722310,87,5,1.0,0,5,0,2,N,N,95000.0,0.0,95000.0,47500.0,0
MONTCLAIR (TOWNSHIP OF),NJ,7042,"TD BANK, NATIONAL ASSOCIATION",DE,446120,9,15,1.0,0,15,1,1,Y,N,435224.0,0.0,200000.0,100000.0,1
PITTSBURGH,PA,15213,CITIZENS BANK NATL ASSOC,RI,811111,24,10,1.0,0,10,1,1,0,N,120000.0,0.0,120000.0,60000.0,1
CRYSTAL,MN,55429,ASSOCIATED BANK NATL ASSOC,MN,421510,240,20,1.0,0,0,1,0,0,N,590000.0,0.0,590000.0,442500.0,0
LOS ANGELES,CA,90045,"SUPERIOR FINANCIAL GROUP, LLC",CA,541618,97,3,1.0,1,3,0,1,N,N,12500.0,0.0,12500.0,10625.0,0
NEWPORT,MN,55066,ASSOCIATED BANK NATL ASSOC,MN,721110,300,2,1.0,0,0,1,0,0,N,217000.0,0.0,217000.0,162750.0,0
ERLANGER,KY,41018,VICTORY COMMUNITY BANK,KY,561730,60,12,1.0,3,12,0,1,N,N,40700.0,0.0,40700.0,34595.0,0
LAWRENCEVILLE,GA,30045,BRANCH BK. & TR CO,GA,811121,300,2,2.0,0,0,1,1,0,N,455000.0,0.0,455000.0,341250.0,0
GAINESVILLE,GA,30501,CORNERSTONEBANK,GA,811111,120,1,2.0,1,1,49952,2,0,N,225000.0,0.0,225000.0,168750.0,0
HECTOR,NY,14851,CHEMUNG CANAL TRUST COMPANY,NY,312130,180,2,1.0,0,0,1,0,N,N,205000.0,0.0,205000.0,153750.0,0
FRISCO,TX,75034,AMER BUS. LENDING INC.,TX,446120,65,1,1.0,0,1,59450,1,0,N,135000.0,0.0,135000.0,114750.0,1
NEW BERLIN,WI,53151,FIRST BANK FINANCIAL CENTRE,WI,238990,120,7,1.0,1,7,0,2,N,N,250000.0,0.0,250000.0,187500.0,0
HARTFORD,CT,6112,BANK OF AMERICA NATL ASSOC,NC,484110,34,1,1.0,0,1,0,1,N,N,19800.0,0.0,19800.0,9900.0,1
BOYD,TX,76023,AMER NATL BK OF TEXAS,TX,447110,84,12,1.0,3,12,78760,2,0,N,83000.0,0.0,83000.0,70550.0,0
CHARLOTTE,NC,28202,GE CAP. SMALL BUS. FINAN CORP,TX,812990,240,7,2.0,0,0,1,1,0,N,584900.0,0.0,600000.0,450000.0,0
BROOKLYN,NY,11218,BANK OF AMERICA NATL ASSOC,NC,541613,60,1,2.0,0,1,0,1,N,N,25000.0,0.0,25000.0,12500.0,0
DES MOINES,IA,50309,WEST BANK,IA,0,84,3,1.0,0,0,1,0,N,N,80000.0,0.0,80000.0,72000.0,0
WAKEFIELD,MA,1880,CITIZENS BANK NATL ASSOC,MA,541910,84,2,1.0,0,2,1,1,Y,N,48823.0,0.0,30000.0,15000.0,0
HOUSTON,TX,77098,WELLS FARGO BANK NATL ASSOC,SD,722410,84,8,1.0,0,0,1,0,N,Y,60000.0,0.0,60000.0,54000.0,0
DECATUR,GA,30032,CITIZENS TRUST BANK,GA,0,180,60,1.0,10,60,1,1,0,N,256000.0,0.0,256000.0,192000.0,0
FERNANDINA BEACH,FL,32034,FIRST NATL BK - NASSAU CNTY,FL,233320,300,17,1.0,4,17,1,1,0,N,768700.0,0.0,768700.0,576525.0,0
UNION CITY,NJ,7087,"TD BANK, NATIONAL ASSOCIATION",NJ,0,180,2,1.0,0,0,1,0,N,N,150000.0,0.0,150000.0,112500.0,0
SAN ANTONIO,TX,78230,FROST BANK,TX,541512,60,6,2.0,0,0,1,0,N,Y,45000.0,0.0,45000.0,40500.0,0
DEFOREST,WI,53532,BMO HARRIS BK NATL ASSOC,IL,492210,36,1,1.0,1,0,0,1,Y,N,13000.0,0.0,13000.0,6500.0,0
TWO RIVERS,WI,54241,U.S. BANK NATIONAL ASSOCIATION,WI,331528,180,10,1.0,0,0,1,0,N,N,383200.0,0.0,383200.0,325720.0,0
HECTOR,NY,14841,BANK OF AMERICA NATL ASSOC,NC,312130,24,3,1.0,0,0,1,0,N,N,30000.0,0.0,30000.0,27000.0,0
